id,task,repetition,arm,correct,valid,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,elapsed_seconds,setup_seconds,retrieval_used
polyglot_lookup-2-native,polyglot_lookup,2,native,True,True,41396,26112,15284,313,91,41709,13.636,0,False
polyglot_lookup-2-full,polyglot_lookup,2,full,True,True,29518,12032,17486,186,40,29704,9.128,7.05,False
polyglot_lookup-2-no_bundle,polyglot_lookup,2,no_bundle,True,True,43917,26112,17805,313,75,44230,12.583,7.152,False
polyglot_lookup-2-lean,polyglot_lookup,2,lean,True,True,28945,12032,16913,229,60,29174,10.979,6.947,False
java_repair-1-lean,java_repair,1,lean,True,True,108025,88576,19449,1404,701,109429,35.869,6.644,False
java_repair-1-native,java_repair,1,native,True,False,174211,150016,24195,2390,935,176601,91.008,0,False
java_repair-1-no_bundle,java_repair,1,no_bundle,True,True,83702,66304,17398,844,272,84546,28.859,6.644,False
java_repair-1-full,java_repair,1,full,True,True,73593,56320,17273,483,32,74076,18.844,6.545,False
java_repair-2-full,java_repair,2,full,True,True,73750,56320,17430,623,168,74373,22.047,6.645,False
java_repair-2-no_bundle,java_repair,2,no_bundle,True,True,86128,77312,8816,1360,599,87488,68.878,6.643,False
java_repair-2-native,java_repair,2,native,True,True,56756,26112,30644,505,148,57261,17.59,0,False
java_repair-2-lean,java_repair,2,lean,True,True,91968,72448,19520,1467,780,93435,38.48,6.543,False
java_chain-1-no_bundle,java_chain,1,no_bundle,True,True,55343,38144,17199,435,70,55778,17.089,6.646,False
java_chain-1-lean,java_chain,1,lean,True,True,41326,25088,16238,314,70,41640,11.881,6.645,False
java_chain-1-native,java_chain,1,native,True,True,52264,24064,28200,384,62,52648,13.636,0,False
java_chain-1-full,java_chain,1,full,True,True,55394,50176,5218,389,41,55783,15.736,6.645,False
java_chain-2-no_bundle,java_chain,2,no_bundle,True,True,55313,38144,17169,395,38,55708,13.583,6.544,False
java_chain-2-full,java_chain,2,full,True,True,41676,37120,4556,327,59,42003,11.631,6.543,False
java_chain-2-native,java_chain,2,native,True,True,51891,41984,9907,401,64,52292,14.636,0,False
java_chain-2-lean,java_chain,2,lean,True,True,42134,25088,17046,305,34,42439,11.631,6.645,False
polyglot_lookup-1-native,polyglot_lookup,1,native,True,True,41802,35072,6730,335,78,42137,13.333,0,False
polyglot_lookup-1-no_bundle,polyglot_lookup,1,no_bundle,True,True,28307,12032,16275,226,98,28533,9.228,7.15,False
polyglot_lookup-1-lean,polyglot_lookup,1,lean,True,True,28321,12032,16289,225,80,28546,9.277,7.049,False
polyglot_lookup-1-full,polyglot_lookup,1,full,True,True,28871,24064,4807,196,71,29067,9.528,7.048,False
