id,task,repetition,arm,correct,valid,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,elapsed_seconds,setup_seconds,read_retrieval_attempted,policy_rejections,access_status
polyglot_retry-2-legacy,polyglot_retry,2,legacy,True,True,41726,26112,15614,408,81,42134,13.734,9.157,False,0,passed
polyglot_retry-2-native,polyglot_retry,2,native,True,True,39328,24064,15264,408,118,39736,13.884,0,False,0,passed
polyglot_retry-2-repaired,polyglot_retry,2,repaired,True,True,73257,65280,7977,739,171,73996,22.444,9.153,True,0,passed
polyglot_retry-2-navigation,polyglot_retry,2,navigation,True,True,42479,26112,16367,420,121,42899,14.333,9.052,True,0,passed
java_dispatch-1-repaired,java_dispatch,1,repaired,True,True,95313,61440,33873,768,127,96081,27.703,7.147,True,0,passed
java_dispatch-1-legacy,java_dispatch,1,legacy,True,True,57338,25088,32250,788,134,58126,22.847,7.145,False,0,passed
java_dispatch-1-native,java_dispatch,1,native,True,True,45643,24064,21579,433,176,46076,16.137,0,False,0,passed
java_dispatch-1-navigation,java_dispatch,1,navigation,True,True,82341,61440,20901,678,152,83019,21.145,7.146,True,0,passed
polyglot_retry-1-legacy,polyglot_retry,1,legacy,True,True,41920,26112,15808,511,138,42431,15.837,9.153,False,0,passed
polyglot_retry-1-navigation,polyglot_retry,1,navigation,True,True,42420,36096,6324,399,104,42819,14.585,9.156,True,0,passed
polyglot_retry-1-native,polyglot_retry,1,native,True,True,39842,25088,14754,379,59,40221,18.739,0,False,0,passed
polyglot_retry-1-repaired,polyglot_retry,1,repaired,True,True,42627,26112,16515,418,95,43045,16.736,9.156,True,0,passed
java_dispatch-2-navigation,java_dispatch,2,navigation,True,True,65898,31232,34666,561,127,66459,21.045,7.351,True,0,passed
java_dispatch-2-legacy,java_dispatch,2,legacy,True,True,57479,50176,7303,749,106,58228,25.952,7.048,False,0,passed
java_dispatch-2-native,java_dispatch,2,native,True,True,69391,51200,18191,737,123,70128,23.098,0,False,0,passed
java_dispatch-2-repaired,java_dispatch,2,repaired,True,True,69074,47360,21714,589,162,69663,18.542,7.05,True,0,passed
java_backoff-2-repaired,java_backoff,2,repaired,True,True,119745,96768,22977,2416,1013,122161,59.93,7.147,True,0,passed
java_backoff-2-legacy,java_backoff,2,legacy,True,True,95402,75520,19882,1747,730,97149,45.947,7.054,False,0,passed
java_backoff-2-native,java_backoff,2,native,True,True,91646,71424,20222,1755,664,93401,42.98,0,False,0,passed
java_backoff-2-navigation,java_backoff,2,navigation,True,True,94758,73472,21286,2126,704,96884,49.906,7.047,True,0,passed
java_backoff-1-native,java_backoff,1,native,True,True,92203,71424,20779,1523,353,93726,43.28,0,False,0,passed
java_backoff-1-navigation,java_backoff,1,navigation,True,True,119027,96768,22259,1936,649,120963,47.55,7.146,True,0,passed
java_backoff-1-repaired,java_backoff,1,repaired,True,True,152248,111872,40376,2303,605,154551,57.661,7.149,True,0,passed
java_backoff-1-legacy,java_backoff,1,legacy,True,True,113650,101632,12018,2107,752,115757,54.362,7.149,False,0,passed
