id,task,repetition,arm,correct,valid,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,elapsed_seconds,setup_seconds,read_retrieval_attempted,node_edit_committed,source_v1_used,policy_rejections,access_status
java_overload-1-node,java_overload,1,node,True,True,96770,73472,23298,2114,699,98884,50.151,6.951,True,False,False,0,passed
java_overload-1-native,java_overload,1,native,True,True,107284,85504,21780,1668,457,108952,43.777,0,False,False,False,0,passed
java_overload-1-compact,java_overload,1,compact,True,True,170302,137984,32318,2350,450,172652,69.634,6.948,True,False,False,0,passed
java_overload-1-combined,java_overload,1,combined,True,True,158107,132096,26011,2079,458,160186,53.768,6.95,True,False,True,0,passed
java_overload-1-slim,java_overload,1,slim,True,True,200051,156416,43635,2461,601,202512,74.84,6.951,True,False,True,0,passed
java_short-1-slim,java_short,1,slim,True,True,110002,88576,21426,1452,402,111454,39.428,6.954,True,False,True,0,passed
java_short-1-node,java_short,1,node,True,True,127108,103680,23428,1529,317,128637,44.038,6.948,True,False,False,0,passed
java_short-1-compact,java_short,1,compact,True,True,96911,86528,10383,1299,276,98210,42.239,6.844,True,False,False,0,passed
java_short-1-native,java_short,1,native,True,True,91111,71424,19687,1062,231,92173,32.863,0,False,False,False,0,passed
java_short-1-combined,java_short,1,combined,True,True,107104,71424,35680,1558,383,108662,49.693,6.95,True,False,True,0,passed
java_short-2-compact,java_short,2,compact,True,True,110504,98560,11944,1426,314,111930,39.138,6.946,True,False,False,0,passed
java_short-2-combined,java_short,2,combined,True,True,142941,128768,14173,1776,536,144717,50.198,6.946,True,False,True,0,passed
java_short-2-slim,java_short,2,slim,True,True,139709,117760,21949,1855,443,141564,54.708,7.051,True,False,True,0,passed
java_short-2-native,java_short,2,native,True,True,89420,69376,20044,1296,309,90716,36.766,0,False,False,False,0,passed
java_short-2-node,java_short,2,node,True,True,92725,66304,26421,1472,443,94197,41.286,6.945,True,False,False,0,passed
java_long-1-compact,java_long,1,compact,True,True,157364,132096,25268,2278,416,159642,59.363,6.951,True,False,False,0,passed
java_long-1-slim,java_long,1,slim,True,True,131299,91648,39651,1643,464,132942,44.744,7.053,True,False,True,0,passed
java_long-1-native,java_long,1,native,True,True,74506,65280,9226,644,168,75150,21.896,0,False,False,False,0,passed
java_long-1-combined,java_long,1,combined,True,True,159681,133120,26561,1510,336,161191,46.239,7.048,True,False,True,0,passed
java_long-1-node,java_long,1,node,True,True,177840,163328,14512,1998,604,179838,58.312,6.949,True,False,False,0,passed
java_overload-2-slim,java_overload,2,slim,True,True,173142,147968,25174,2731,768,175873,67.037,7.05,True,False,True,0,passed
java_overload-2-node,java_overload,2,node,True,True,165144,143872,21272,2002,455,167146,55.562,7.051,True,False,False,0,passed
java_overload-2-compact,java_overload,2,compact,True,True,168055,152064,15991,2277,757,170332,61.072,6.948,True,False,False,0,passed
java_overload-2-native,java_overload,2,native,True,True,71163,62208,8955,936,331,72099,29.956,0,False,False,False,0,passed
java_overload-2-combined,java_overload,2,combined,True,True,153964,131840,22124,1958,338,155922,55.15,6.946,True,False,True,0,passed
java_long-2-native,java_long,2,native,True,True,108961,87552,21409,1115,179,110076,37.271,0,False,False,False,0,passed
java_long-2-node,java_long,2,node,True,True,132510,110592,21918,1417,345,133927,40.984,7.047,True,False,False,0,passed
java_long-2-compact,java_long,2,compact,True,True,140055,117760,22295,1373,217,141428,46.79,6.955,True,False,False,0,passed
java_long-2-slim,java_long,2,slim,True,True,150815,128768,22047,1794,604,152609,49.5,6.952,True,False,True,0,passed
java_long-2-combined,java_long,2,combined,True,True,137191,123904,13287,1759,471,138950,51.766,6.947,True,False,True,0,passed
