id,task,repetition,arm,correct,valid,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,elapsed_seconds,setup_seconds,read_retrieval_attempted,node_edit_committed,source_v1_used,policy_rejections,access_status
java_short-1-slim,java_short,1,slim,True,True,114715,91648,23067,1930,307,116645,52.406,7.458,True,False,True,0,passed
java_short-1-node,java_short,1,node,True,True,79523,68352,11171,1276,184,80799,33.318,7.452,True,True,False,0,passed
java_short-1-combined,java_short,1,combined,True,True,113791,100608,13183,1912,607,115703,47.542,7.555,True,True,True,0,passed
java_short-1-native,java_short,1,native,True,True,73798,55296,18502,1181,262,74979,34.717,0,False,False,False,0,passed
java_short-1-compact,java_short,1,compact,True,True,130871,98560,32311,1738,435,132609,46.006,7.453,True,False,False,0,passed
java_long-2-combined,java_long,2,combined,True,True,182911,157440,25471,2154,230,185065,62.419,7.56,True,True,True,0,passed
java_long-2-native,java_long,2,native,True,True,141328,102656,38672,1954,563,143282,51.596,0,False,False,False,0,passed
java_long-2-compact,java_long,2,compact,True,True,144784,129024,15760,1466,256,146250,42.138,7.555,True,False,False,0,passed
java_long-2-slim,java_long,2,slim,True,True,202083,174592,27491,2151,364,204234,56.965,7.558,True,False,True,0,passed
java_long-2-node,java_long,2,node,True,True,142921,110848,32073,2663,741,145584,62.873,7.353,True,True,False,0,passed
java_overload-2-node,java_overload,2,node,True,True,233894,191744,42150,2781,756,236675,72.754,7.553,True,True,False,0,passed
java_overload-2-compact,java_overload,2,compact,True,True,163063,147200,15863,2404,648,165467,64.075,7.559,True,False,False,0,passed
java_overload-2-combined,java_overload,2,combined,True,True,165649,148224,17425,2063,484,167712,59.063,7.351,True,True,True,0,passed
java_overload-2-slim,java_overload,2,slim,True,True,225684,189440,36244,2860,649,228544,94.79,7.154,True,False,True,0,passed
java_overload-2-native,java_overload,2,native,True,True,74658,54272,20386,1664,391,76322,41.63,0,False,False,False,0,passed
java_short-2-combined,java_short,2,combined,True,True,96098,83456,12642,1702,343,97800,47.141,7.149,True,True,True,0,passed
java_short-2-compact,java_short,2,compact,True,True,97601,80384,17217,1330,348,98931,37.779,7.453,True,False,False,0,passed
java_short-2-slim,java_short,2,slim,True,True,116389,93696,22693,1390,268,117779,38.589,7.249,True,False,True,0,passed
java_short-2-node,java_short,2,node,True,True,94926,58368,36558,1572,363,96498,39.78,7.254,True,True,False,0,passed
java_short-2-native,java_short,2,native,True,True,58085,49152,8933,1110,198,59195,30.162,0,False,False,False,0,passed
java_overload-1-slim,java_overload,1,slim,True,True,179454,152320,27134,2144,481,181598,57.974,7.352,True,False,True,0,passed
java_overload-1-combined,java_overload,1,combined,True,True,200984,182528,18456,2367,548,203351,65.482,7.349,True,True,True,0,passed
java_overload-1-compact,java_overload,1,compact,True,True,142551,125952,16599,2173,665,144724,60.983,7.356,True,False,False,0,passed
java_overload-1-node,java_overload,1,node,True,True,253157,222976,30181,2673,654,255830,72.59,7.352,True,True,False,0,passed
java_overload-1-native,java_overload,1,native,True,True,106347,85504,20843,1557,304,107904,41.83,0,False,False,False,0,passed
java_long-1-compact,java_long,1,compact,True,True,166268,148224,18044,1629,374,167897,52.907,7.154,True,False,False,0,passed
java_long-1-slim,java_long,1,slim,True,True,181449,165376,16073,2112,586,183561,67.145,7.149,True,False,True,0,passed
java_long-1-native,java_long,1,native,True,True,125278,96512,28766,1699,550,126977,47.189,0,False,False,False,0,passed
java_long-1-node,java_long,1,node,True,True,107791,82688,25103,2325,638,110116,55.361,7.251,True,True,False,0,passed
java_long-1-combined,java_long,1,combined,True,True,125289,110848,14441,2089,401,127378,59.413,7.047,True,True,True,0,passed
